Ticker Symbol,Security,Sector,Date Added
MMM,3M,Conglomerate,09/08/1976
AXP,American Express,Consumer finance,30/08/1982
AAPL,Apple,Consumer electronics,19/03/2015
BA,Boeing,Aerospace마nd맋efense,12/03/1987
CAT,Caterpillar,Construction마nd맔ining equipment,06/05/1991
CVX,Chevron,Oil & gas,19/02/2008
CSCO,Cisco Systems,Computer networking,08/06/2009
KO,Coca-Cola,Beverages,12/03/1987
DD,Du Pont,Chemical industry,20/11/1935
XOM,ExxonMobil,Oil & gas,01/10/1928
GE,General Electric,Conglomerate,07/11/1907
GS,Goldman Sachs,BankingFinancial services,20/09/2013
HD,The Home Depot,Home improvementretailer,01/11/1999
IBM,IBM,Computers마nd맚echnology,29/06/1979
INTC,Intel,Semiconductors,01/11/1999
JNJ,Johnson & Johnson,Pharmaceuticals,17/03/1997
JPM,JPMorgan Chase,Banking,06/05/1991
MCD,McDonald's,Fast food,30/10/1985
MRK,Merck,Pharmaceuticals,29/06/1979
MSFT,Microsoft,Software,01/11/1999
NKE,Nike,Apparel,20/09/2013
PFE,Pfizer,Pharmaceuticals,08/04/2004
PG,Procter & Gamble,Consumer goods,26/05/1932
TRV,Travelers,Insurance,08/06/2009
UNH,UnitedHealth Group,Managed health care,24/09/2012
UTX,United Technologies,Conglomerate,14/03/1939
VZ,Verizon,Telecommunication,08/04/2004
V,Visa,Consumer banking,20/09/2013
WMT,Wal-Mart,Retail,17/03/1997
DIS,Walt Disney,Broadcasting마nd만ntertainment,06/05/1991
